FIPS,State,Area_Name,Latitude,Longitude,DensityPerSquaremileOfLandarea-Population,Median_Household_Income_2018,Percent_of_adults_with_a_high_school_diploma_only_2014-18
02013,AK,Aleutians East Borough,55.243722,-161.950749,0.4,70081,40.2
02068,AK,Denali Borough,63.682732,-150.026719,0.1,75477,26.1
02100,AK,Haines Borough,59.099905,-135.578102,1.1,58943,30
02105,AK,Hoonah-Angoon Census Area,58.076434,-135.1851,0.3,51188,35.6
02130,AK,Ketchikan Gateway Borough,55.449938,-131.106685,2.8,68309,29.9
02164,AK,Lake and Peninsula Borough,58.205065,-156.705188,0.1,49403,41.9
02198,AK,Prince of Wales-Hyder Census Area,55.415683,-132.875734,1.4,49356,37.3
02230,AK,Skagway Municipality,59.575097,-135.335418,2.1,74635,23.4
02275,AK,Wrangell City and Borough,56.279121,-132.040326,0.9,57832,37.6
02282,AK,Yakutat City and Borough,59.999083,-140.239593,0.1,59523,38.4
04007,AZ,Gila County,33.789618,-110.81187,11.3,43585,28.6
05015,AR,Carroll County,36.337774,-93.541663,43.6,45023,34.6
06003,CA,Alpine County,38.61761,-119.798999,1.6,55384,28.7
06105,CA,Trinity County,40.647724,-123.114404,4.3,40680,33.4
08025,CO,Crowley County,38.321956,-103.787562,7.4,35880,41.7
08033,CO,Dolores County,37.747602,-108.530383,1.9,47482,38.3
08053,CO,Hinsdale County,37.811625,-107.383405,0.8,62149,25.7
08061,CO,Kiowa County,38.388466,-102.75621,0.8,44704,38
08083,CO,Montezuma County,37.338025,-108.595786,12.6,50180,29.4
08095,CO,Phillips County,40.594712,-102.345105,6.5,52367,27.6
08111,CO,San Juan County,37.781075,-107.670257,1.8,46878,26.7
08115,CO,Sedgwick County,40.871568,-102.355358,4.3,40009,30
08125,CO,Yuma County,40.000631,-102.422649,4.2,53253,33.5
15005,HI,Kalawao County,21.218764,-156.97401,7.5,NA,27.5
16025,ID,Camas County,43.463396,-114.804427,1,53866,38
16061,ID,Lewis County,46.236328,-116.42376,8,44911,29.4
16063,ID,Lincoln County,42.986181,-114.153899,4.3,50464,34.6
17069,IL,Hardin County,37.517852,-88.266148,24.3,41713,32.9
18065,IN,Henry County,39.929576,-85.397338,126.2,50183,43.9
18087,IN,LaGrange County,41.642468,-85.426302,97.8,67498,32.4
18129,IN,Posey County,38.027614,-87.868653,63.3,68162,38.4
19003,IA,Adams County,41.021656,-94.696906,9.5,51577,39.1
19031,IA,Cedar County,41.772355,-91.13219,31.9,67597,35.9
19043,IA,Clayton County,42.840998,-91.323511,23.3,53968,43.6
19103,IA,Johnson County,41.668737,-91.588812,213.1,64387,16.2
19161,IA,Sac County,42.387526,-95.105224,18,56698,37.2
20007,KS,Barber County,37.222906,-98.685052,4.3,47634,34.9
20019,KS,Chautauqua County,37.154259,-96.245396,5.7,41129,35.6
20039,KS,Decatur County,39.783542,-100.459708,3.3,44774,32.5
20047,KS,Edwards County,37.883595,-99.304746,4.9,46962,27.3
20049,KS,Elk County,37.456026,-96.244642,4.5,37360,40.4
20063,KS,Gove County,38.917239,-100.48736,2.5,49626,33.8
20081,KS,Haskell County,37.55855,-100.876869,7.4,60808,18.7
20083,KS,Hodgeman County,38.087493,-99.898407,2.2,54058,20.7
