FIPS,State,Area_Name,Latitude,Longitude,DensityPerSquaremileOfLandarea-Population,Median_Household_Income_2018,Percent_of_adults_with_a_high_school_diploma_only_2014-18
01001,AL,Autauga County,32.536382,-86.64449,91.8,59338,32.6
01007,AL,Bibb County,33.015893,-87.127148,36.8,46064,47.3
01009,AL,Blount County,33.977448,-86.567246,88.9,50412,34
01015,AL,Calhoun County,33.771706,-85.822513,195.7,45400,32.4
01061,AL,Geneva County,31.090866,-85.824346,46.6,37823,37.2
01079,AL,Lawrence County,34.529776,-87.321865,49.7,43909,41.5
01097,AL,Mobile County,30.684573,-88.196568,335.9,43598,33.5
01099,AL,Monroe County,31.580332,-87.383266,22.5,39556,46.1
01109,AL,Pike County,31.798726,-85.941997,48.9,37259,33.3
01123,AL,Tallapoosa County,32.863369,-85.799553,58.1,42205,32.9
02020,AK,Anchorage Municipality,61.177549,-149.274354,171.2,82113,23.8
05005,AR,Baxter County,36.28071,-92.330438,74.9,39686,35
05009,AR,Boone County,36.304308,-93.079204,62.5,44482,33.8
05021,AR,Clay County,36.367302,-90.418704,25.2,37687,41.2
05035,AR,Crittenden County,35.211878,-90.315331,83.5,42606,35
05041,AR,Desha County,33.828748,-91.244427,16.9,36132,44
05057,AR,Hempstead County,33.728611,-93.665809,31.1,38682,36.9
05069,AR,Jefferson County,34.277696,-91.930701,88.9,38596,38.5
05093,AR,Mississippi County,35.766943,-90.052209,51.6,36718,38.6
05099,AR,Nevada County,33.666699,-93.305072,14.6,37626,43.8
05113,AR,Polk County,34.490915,-94.230884,24.1,39048,37.4
05125,AR,Saline County,34.648525,-92.674463,148,63677,31.5
05129,AR,Searcy County,35.90966,-92.699351,12.3,31659,45.1
05145,AR,White County,35.254722,-91.753158,74.5,44811,38.4
06001,CA,Alameda County,37.648081,-121.913304,2043.6,101744,17.6
06009,CA,Calaveras County,38.187844,-120.555115,44.7,62984,27.6
06013,CA,Contra Costa County,37.919479,-121.951543,1465.2,101463,17.6
06021,CA,Glenn County,39.602546,-122.4017,21.4,47365,28.2
06023,CA,Humboldt County,40.706673,-123.925818,37.7,49471,23.5
06035,CA,Lassen County,40.721089,-120.629931,7.7,57705,33.2
06061,CA,Placer County,39.062032,-120.722718,247.6,89175,18.2
06067,CA,Sacramento County,38.450011,-121.340441,1470.8,69475,22.3
06079,CA,San Luis Obispo County,35.385227,-120.44754,81.7,70626,19.8
06081,CA,San Mateo County,37.414664,-122.371542,1602.2,122930,15
06089,CA,Shasta County,40.760522,-122.04355,46.9,53908,24.8
06093,CA,Siskiyou County,41.587986,-122.533287,7.2,47560,25.5
06107,CA,Tulare County,36.230453,-118.780542,91.7,48763,26
08003,CO,Alamosa County,37.568442,-105.788041,21.4,42897,27.3
08007,CO,Archuleta County,37.202395,-107.050863,8.9,53337,21.5
08013,CO,Boulder County,40.094826,-105.398382,405.6,83591,12.3
08067,CO,La Plata County,37.287367,-107.839718,30.3,66219,20.3
08069,CO,Larimer County,40.663091,-105.482131,115.4,71306,19.2
09015,CT,Windham County,41.824999,-71.990702,230.9,65182,33
12017,FL,Citrus County,28.843628,-82.524796,242.8,41556,38.3
12041,FL,Gilchrist County,29.723456,-82.795801,48.4,42186,42.2
12059,FL,Holmes County,30.866222,-85.812959,41.6,38040,39
12063,FL,Jackson County,30.787812,-85.210374,54.2,39545,37.4
12091,FL,Okaloosa County,30.665858,-86.594194,194.4,62779,24.7
13001,GA,Appling County,31.739712,-82.290103,36,42781,38.3
13013,GA,Barrow County,33.992009,-83.712303,432.7,61413,34.4
13091,GA,Dodge County,32.160656,-83.156818,44,35636,42.3
13113,GA,Fayette County,33.412717,-84.493941,548.3,95021,20.7
13117,GA,Forsyth County,34.225143,-84.127336,783.5,105921,16.6
13147,GA,Hart County,34.348733,-82.96329,108.5,47171,36.7
13175,GA,Laurens County,32.39322,-82.926317,60,42114,43.4
13181,GA,Lincoln County,33.792151,-82.448299,38,46967,41.4
13191,GA,McIntosh County,31.482978,-81.370199,33.8,42513,38.1
13201,GA,Miller County,31.162908,-84.730386,21.7,42483,38.1
13233,GA,Polk County,33.995961,-85.186826,133.6,43679,39.6
13245,GA,Richmond County,33.361487,-82.074998,618.4,40168,30.7
13281,GA,Towns County,34.90265,-83.732158,62.9,45853,30.8
13283,GA,Treutlen County,32.409586,-82.570882,34.5,35069,38.9
13287,GA,Turner County,31.718232,-83.628567,31.3,33261,40.4
13305,GA,Wayne County,31.547845,-81.912376,46.9,44607,40.6
15001,HI,Hawaii County,19.597764,-155.502443,45.9,56383,30.4
16011,ID,Bingham County,43.216357,-112.399206,21.8,50941,30
16057,ID,Latah County,46.81892,-116.730974,34.6,49538,19.9
16081,ID,Teton County,43.760994,-111.211765,22.6,68749,16.2
17001,IL,Adams County,39.986053,-91.194961,78.5,55174,34.5
17031,IL,Cook County,41.894294,-87.645455,5495.1,63347,23.3
17053,IL,Ford County,40.594423,-88.224746,29,55357,36
17059,IL,Gallatin County,37.768677,-88.227964,17.3,43330,40.7
17085,IL,Jo Daviess County,42.362391,-90.211471,37.7,56832,37.1
17095,IL,Knox County,40.930941,-90.213761,73.9,44553,36.2
17097,IL,Lake County,42.326444,-87.436118,1585.6,87336,21.1
17101,IL,Lawrence County,38.718954,-87.730221,45.2,43767,37
17133,IL,Monroe County,38.277983,-90.179078,85.6,88481,29.2
17157,IL,Randolph County,38.056515,-89.82121,58.2,53607,39.3
17163,IL,St. Clair County,38.470198,-89.928546,410.6,58222,28.6
17177,IL,Stephenson County,42.349726,-89.665994,84.5,47357,36
18003,IN,Allen County,41.091855,-85.07223,540.6,54473,28.7
18033,IN,DeKalb County,41.401189,-85.000185,116.4,58987,41.8
18037,IN,Dubois County,38.373344,-86.873385,98,62126,39.2
18055,IN,Greene County,39.0486,-87.005245,61.1,46835,41.7
18057,IN,Hamilton County,40.04987,-86.020586,696.4,101740,15.3
18091,IN,LaPorte County,41.549011,-86.744729,186.3,52095,39.3
18101,IN,Martin County,38.705322,-86.801847,30.8,55444,43.2
18103,IN,Miami County,40.772881,-86.044259,98.7,47624,42.5
18115,IN,Ohio County,38.940527,-84.964299,71.1,58022,45.6
18137,IN,Ripley County,39.10023,-85.260541,64.6,57436,43.5
18141,IN,St. Joseph County,41.617699,-86.288159,583,54674,30.7
18145,IN,Shelby County,39.524135,-85.792174,108.1,57193,42.7
18151,IN,Steuben County,41.643437,-85.002467,110.7,58295,38.3
18155,IN,Switzerland County,38.825846,-85.029679,48.1,47713,48.6
18157,IN,Tippecanoe County,40.38926,-86.893943,345.7,52269,25
18169,IN,Wabash County,40.843717,-85.795175,79.7,51487,42.5
18173,IN,Warrick County,38.097764,-87.272023,155.1,75534,31.4
19011,IA,Benton County,42.092547,-92.05763,36.4,62799,36.3
19015,IA,Boone County,42.038601,-93.939138,46,63099,32.3
19035,IA,Cherokee County,42.742738,-95.633262,20.9,56312,35.9
19041,IA,Clay County,43.079822,-95.149726,29.4,56338,34.1
19053,IA,Decatur County,40.736379,-93.78458,15.9,41101,37.6
19085,IA,Harrison County,41.688584,-95.827149,21.4,60044,38
19087,IA,Henry County,40.985864,-91.54427,46.4,55856,37.7
19109,IA,Kossuth County,43.212478,-94.213983,16,55486,37.6
19123,IA,Mahaska County,41.330797,-92.636366,39.2,56492,38.8
19189,IA,Winnebago County,43.378124,-93.743488,27.1,54433,33.3
19195,IA,Worth County,43.373491,-93.248533,19,58587,37.2
19197,IA,Wright County,42.733007,-93.734735,22.8,54802,35.9
20111,KS,Lyon County,38.455498,-96.161589,39.8,47982,30.9
20197,KS,Wabaunsee County,38.955154,-96.201262,8.9,59744,34.6
21067,KY,Fayette County,38.040157,-84.458443,1042.8,55358,20
21071,KY,Floyd County,37.558283,-82.740337,100.3,33218,35.8
21113,KY,Jessamine County,37.873291,-84.58396,282.3,59443,30.3
21117,KY,Kenton County,38.930477,-84.533492,996.7,64644,28.7
21133,KY,Letcher County,37.118503,-82.861175,72.6,32321,37.5
21169,KY,Metcalfe County,36.990394,-85.629554,34.9,35906,37
21173,KY,Montgomery County,38.038138,-83.912338,134.3,46629,40.8
21179,KY,Nelson County,37.803188,-85.465955,104,55602,38.7
21185,KY,Oldham County,38.400046,-85.456059,322.2,102136,21.3
21193,KY,Perry County,37.241282,-83.217772,84.5,33108,34.8
21209,KY,Scott County,38.289882,-84.579376,167.4,73500,30.5
21215,KY,Spencer County,38.026976,-85.321525,91.4,85899,35.1
21217,KY,Taylor County,37.365106,-85.326698,92,45429,39.5
22037,LA,East Feliciana Parish,30.839784,-91.043434,44.7,45174,42.5
22091,LA,St. Helena Parish,30.821423,-90.70935,27.4,38699,40
22111,LA,Union Parish,32.829349,-92.37565,25.9,43584,47.1
22125,LA,West Feliciana Parish,30.872701,-91.421008,38.8,60296,35.7
24003,MD,Anne Arundel County,38.993374,-76.560511,1295.9,97051,23.8
24005,MD,Baltimore County,39.443167,-76.616569,1345.5,75836,26.2
24017,MD,Charles County,38.472853,-77.015427,320.2,92616,31.4
24019,MD,Dorchester County,38.429196,-76.047433,60.3,48682,39.4
24021,MD,Frederick County,39.470427,-77.397627,353.5,95196,24.3
24025,MD,Harford County,39.537429,-76.299789,560.1,87959,26.6
24029,MD,Kent County,39.239177,-76.1242,72.9,55514,28.6
24037,MD,St. Mary's County,38.222666,-76.534271,294.4,89964,30
24043,MD,Washington County,39.603621,-77.814671,322.1,62556,36.4
25001,MA,Barnstable County,41.798819,-70.211083,548.3,69001,24.3
25017,MA,Middlesex County,42.479477,-71.396507,1837.9,100374,19.6
25023,MA,Plymouth County,41.987196,-70.741942,750.9,89678,27.9
25025,MA,Suffolk County,42.33196,-71.020173,12415.6,68743,22.4
26027,MI,Cass County,41.91624,-85.999457,106.7,55978,33.2
26043,MI,Dickinson County,46.012823,-87.866119,34.4,52348,33.8
26069,MI,Iosco County,44.329482,-82.849447,47.1,41256,37.8
26093,MI,Livingston County,42.602532,-83.911718,320.2,84048,25.9
26103,MI,Marquette County,46.656597,-87.584028,37.1,54093,31.5
26107,MI,Mecosta County,43.635295,-85.332751,77.1,45804,36.2
26109,MI,Menominee County,45.544174,-87.509892,23,46486,42.8
26125,MI,Oakland County,42.660452,-83.38421,1385.7,80319,18.8
26151,MI,Sanilac County,43.449155,-82.642815,44.8,46184,41.5
27003,MN,Anoka County,45.27411,-93.242723,782.1,82284,27.9
27041,MN,Douglas County,45.936429,-95.46061,56.5,60979,29.6
27061,MN,Itasca County,47.490843,-93.613128,16.9,53143,30.2
27087,MN,Mahnomen County,47.325842,-95.810703,9.7,43162,37.9
27123,MN,Ramsey County,45.01525,-93.100141,3341.6,62937,20.9
27157,MN,Wabasha County,44.289693,-92.233341,41.4,63633,34.5
28017,MS,Chickasaw County,33.921654,-88.945808,34.7,37429,37
28023,MS,Clarke County,32.048448,-88.685964,24.2,41495,36.4
28037,MS,Franklin County,31.477798,-90.895884,14.4,39508,35.1
28039,MS,George County,30.855431,-88.642268,47.2,47246,38.9
28051,MS,Holmes County,33.125942,-90.091197,25.4,26449,41.2
28059,MS,Jackson County,30.458491,-88.619991,193.2,51771,31.5
28067,MS,Jones County,31.621044,-89.167262,97.5,42435,30.5
28083,MS,Leflore County,33.54979,-90.294934,54.5,29244,36.5
28095,MS,Monroe County,33.89003,-88.485038,48.3,44681,35.8
28109,MS,Pearl River County,30.773791,-89.586832,68.9,45268,29.9
28119,MS,Quitman County,34.25264,-90.290525,20.3,27767,30.2
28125,MS,Sharkey County,32.89249,-90.827388,11.4,28887,24.2
28149,MS,Warren County,32.357005,-90.851791,82.9,46049,31.2
29017,MO,Bollinger County,37.318349,-90.024601,20,44233,46.5
29037,MO,Cass County,38.647159,-94.354242,142.8,71374,33.1
29047,MO,Clay County,39.315551,-94.421502,558.6,68943,28.8
29051,MO,Cole County,38.506847,-92.271404,193,62817,30.7
29071,MO,Franklin County,38.408313,-91.07341,110,58738,32.8
29073,MO,Gasconade County,38.441183,-91.50578,29.4,52282,39.3
29095,MO,Jackson County,39.007233,-94.342507,1115.3,55864,28.4
29107,MO,Lafayette County,39.068705,-93.802639,53.1,53389,43.2
29115,MO,Linn County,39.86444,-93.108019,20.7,44992,46
29151,MO,Osage County,38.464254,-91.859504,23,58855,43.9
29161,MO,Phelps County,37.866326,-91.790349,67.2,43079,29.9
29165,MO,Platte County,39.378696,-94.761472,212.6,82567,21.8
29185,MO,St. Clair County,38.039069,-93.773077,14.6,37013,42.5
29189,MO,St. Louis County,38.640702,-90.445954,1967.2,66992,21.2
29201,MO,Scott County,37.047793,-89.568098,93.3,44261,42.1
29207,MO,Stoddard County,36.855428,-89.941735,36.4,40808,40.2
29510,MO,St. Louis city,38.635699,-90.244582,5157.5,43263,23.6
30023,MT,Deer Lodge County,46.099059,-113.139108,12.6,45641,37.7
30053,MT,Lincoln County,48.542232,-115.404343,5.4,40602,34.9
31025,NE,Cass County,40.909878,-96.140609,45.3,75177,29.9
31047,NE,Dawson County,40.867378,-99.815154,24,56818,32
31141,NE,Platte County,41.576866,-97.513467,47.8,63656,30.7
31151,NE,Saline County,40.516802,-97.131755,24.7,54569,35.2
31185,NE,York County,40.873056,-97.596742,23.9,61478,29.5
32005,NV,Douglas County,38.905129,-119.609019,66.2,70495,24.1
32019,NV,Lyon County,39.022214,-119.197417,26,59732,32.5
33015,NH,Rockingham County,42.98936,-71.099437,425,93645,25.1
34033,NJ,Salem County,39.573828,-75.357356,199.1,64524,37.7
35005,NM,Chaves County,33.361605,-104.469837,10.8,43527,27.8
35025,NM,Lea County,32.795687,-103.413271,14.7,51656,32.4
