State,Area_Name,Latitude,Longitude,DensityPerSquaremileOfLandarea-Population,Median_Household_Income_2018,Percent_of_adults_with_a_high_school_diploma_only_2014-18
AL,Autauga County,32.536382,-86.64449,91.8,59338,32.6
AL,Bibb County,33.015893,-87.127148,36.8,46064,47.3
AL,Blount County,33.977448,-86.567246,88.9,50412,34
AL,Calhoun County,33.771706,-85.822513,195.7,45400,32.4
AL,Geneva County,31.090866,-85.824346,46.6,37823,37.2
AL,Lawrence County,34.529776,-87.321865,49.7,43909,41.5
AL,Mobile County,30.684573,-88.196568,335.9,43598,33.5
AL,Monroe County,31.580332,-87.383266,22.5,39556,46.1
AL,Pike County,31.798726,-85.941997,48.9,37259,33.3
AL,Tallapoosa County,32.863369,-85.799553,58.1,42205,32.9
AK,Anchorage Municipality,61.177549,-149.274354,171.2,82113,23.8
AR,Baxter County,36.28071,-92.330438,74.9,39686,35
AR,Boone County,36.304308,-93.079204,62.5,44482,33.8
AR,Clay County,36.367302,-90.418704,25.2,37687,41.2
AR,Crittenden County,35.211878,-90.315331,83.5,42606,35
AR,Desha County,33.828748,-91.244427,16.9,36132,44
AR,Hempstead County,33.728611,-93.665809,31.1,38682,36.9
AR,Jefferson County,34.277696,-91.930701,88.9,38596,38.5
AR,Mississippi County,35.766943,-90.052209,51.6,36718,38.6
AR,Nevada County,33.666699,-93.305072,14.6,37626,43.8
AR,Polk County,34.490915,-94.230884,24.1,39048,37.4
AR,Saline County,34.648525,-92.674463,148,63677,31.5
AR,Searcy County,35.90966,-92.699351,12.3,31659,45.1
AR,White County,35.254722,-91.753158,74.5,44811,38.4
CA,Alameda County,37.648081,-121.913304,2043.6,101744,17.6
CA,Calaveras County,38.187844,-120.555115,44.7,62984,27.6
CA,Contra Costa County,37.919479,-121.951543,1465.2,101463,17.6
CA,Glenn County,39.602546,-122.4017,21.4,47365,28.2
CA,Humboldt County,40.706673,-123.925818,37.7,49471,23.5
CA,Lassen County,40.721089,-120.629931,7.7,57705,33.2
CA,Placer County,39.062032,-120.722718,247.6,89175,18.2
CA,Sacramento County,38.450011,-121.340441,1470.8,69475,22.3
CA,San Luis Obispo County,35.385227,-120.44754,81.7,70626,19.8
CA,San Mateo County,37.414664,-122.371542,1602.2,122930,15
