State,Area_Name,Latitude,Longitude,DensityPerSquaremileOfLandarea-Population,Median_Household_Income_2018,Percent_of_adults_with_a_high_school_diploma_only_2014-18
GA,Cobb County,33.93994,-84.574166,2026.4,78603,18.7
GA,Columbia County,33.550556,-82.251342,427.6,82184,24.9
GA,Coweta County,33.352897,-84.762138,288.8,70974,28.6
GA,Crisp County,31.914753,-83.753338,86,36096,39.1
GA,DeKalb County,33.770661,-84.226343,2585.7,63477,20.8
GA,Douglas County,33.699317,-84.765944,661.8,60512,30.7
GA,Echols County,30.7085,-82.836132,9.7,38667,38.2
GA,Effingham County,32.361711,-81.343337,109.4,65793,37.8
GA,Emanuel County,32.5911,-82.299763,33.2,37574,42.9
GA,Franklin County,34.375155,-83.227291,84.5,42904,40.1
GA,Fulton County,33.790034,-84.468182,1748,70808,18.3
GA,Gwinnett County,33.959101,-84.022938,1871.2,72008,22.8
GA,Hall County,34.317588,-83.818497,457.5,61631,27.5
GA,Haralson County,33.795165,-85.220062,102,47662,36.6
GA,Henry County,33.452881,-84.15444,633,72970,31.1
GA,Jackson County,34.134157,-83.565133,178.1,68984,32.3
GA,Jefferson County,33.051874,-82.41905,32.2,38274,41.3
GA,Jenkins County,32.794563,-81.971524,24,31419,40.5
GA,Jones County,33.020226,-83.562339,72.8,55737,36.7
GA,Lee County,31.818419,-84.146681,79.5,66090,30.8
GA,Liberty County,31.807245,-81.457969,129.5,47685,32
GA,Madison County,34.128486,-83.203637,99.6,51338,38
GA,Meriwether County,33.03022,-84.663279,43.9,38886,38.9
GA,Montgomery County,32.172108,-82.533349,38.1,41834,39
GA,Murray County,34.797097,-84.73799,115,46810,37.8
GA,Newton County,33.544046,-83.855189,367.3,56598,33.6
GA,Paulding County,33.920903,-84.866979,455.8,73309,33.1
GA,Putnam County,33.321061,-83.37179,61.6,51205,37.5
GA,Randolph County,31.762651,-84.752311,18,28298,37.2
GA,Rockdale County,33.652081,-84.02637,656.5,59673,31.5
GA,Thomas County,30.864616,-83.919783,82.1,41642,30.9
GA,Washington County,32.971848,-82.798112,31.2,39444,42.5
GA,Wilkinson County,32.804321,-83.175587,21.4,41036,52.3
ID,Bonner County,48.312512,-116.59694,23.6,51373,30.5
ID,Canyon County,43.623051,-116.708527,321.6,53381,32
ID,Gem County,44.061473,-116.398784,29.8,49857,39.2
ID,Gooding County,42.973185,-114.82142,21.2,51302,37.2
ID,Jerome County,42.691172,-114.263009,37.5,54020,32.7
ID,Madison County,43.789709,-111.65655,80,41827,15.7
ID,Payette County,44.00274,-116.748655,55.6,51835,33.7
ID,Twin Falls County,42.352309,-114.665639,40.2,51594,27.9
ID,Washington County,44.448213,-116.79783,7,43402,36.5
IL,Bond County,38.885924,-89.436592,46.7,54800,36.8
IL,Boone County,42.318983,-88.824295,193,74507,35.2
IL,Champaign County,40.13915,-88.197201,201.8,53251,21.7
IL,DeKalb County,41.894613,-88.768991,166.6,63274,25.5
IL,Iroquois County,40.748867,-87.833601,26.6,55247,39.9
IL,Kankakee County,41.139494,-87.861125,167.7,53884,33.6
IL,Kendall County,41.58814,-88.430626,358.2,93345,23.4
IL,McHenry County,42.324298,-88.452245,511.9,86268,26.2
IL,Menard County,40.022569,-89.794133,40.4,74872,36.7
IL,Ogle County,42.041884,-89.320176,70.5,61794,33.6
IL,Richland County,38.71155,-88.085698,45.1,48152,29.9
IL,Rock Island County,41.468404,-90.572203,345,52642,29.9
IL,Vermilion County,40.18674,-87.726772,90.9,44638,41.1
IL,Warren County,40.850441,-90.620223,32.6,53532,32.8
IL,Winnebago County,42.337396,-89.161205,575.2,53795,32
IN,Benton County,40.608253,-87.315479,21.8,51649,43.2
IN,Dearborn County,39.151491,-84.97346,164.1,66502,40.2
IN,Jefferson County,38.783604,-85.44009,89.9,51031,42.3
IN,Johnson County,39.495986,-86.0946,435.8,69880,31
IN,Kosciusko County,41.244293,-85.861575,145.6,57367,35.2
IN,Lake County,41.472239,-87.374337,994.1,55280,35
IN,Monroe County,39.160751,-86.523325,349.7,48883,21.9
IN,Noble County,41.400794,-85.41785,115.7,61341,40.7
IN,Porter County,41.509922,-87.071308,393,69298,34.5
IN,Rush County,39.622312,-85.466527,42.6,53271,46
IN,Spencer County,38.009789,-87.010645,52.8,56862,44.9
IN,Starke County,41.28322,-86.64757,75.6,49972,42.1
IN,Vanderburgh County,38.02007,-87.586166,769.7,50500,32.5
IA,Buchanan County,42.470328,-91.838666,36.7,59724,38.9
IA,Clarke County,41.029191,-93.784096,21.5,52541,41.4
IA,Emmet County,43.377984,-94.66937,26,51497,33.3
IA,Franklin County,42.736549,-93.271425,18.4,59367,36
IA,Jasper County,41.685686,-93.052971,50.4,60378,42.4
IA,Marshall County,42.041691,-92.981452,71,59552,34.1
IA,O'Brien County,43.083746,-95.625624,25.1,53147,38
IA,Pottawattamie County,41.340184,-95.544905,98,56337,33.1
IA,Poweshiek County,41.684526,-92.522882,32.3,56170,37.5
IA,Sioux County,43.082854,-96.177929,43.9,70162,31.4
IA,Washington County,41.329401,-91.725052,38.2,65849,39.3
IA,Winneshiek County,43.292989,-91.850788,30.5,61807,32.7
KS,Bourbon County,37.8561,-94.850928,23.9,41807,30.8
KS,Brown County,39.825931,-95.569905,17.5,47529,36
KS,Cloud County,39.487329,-97.64139,13.3,44467,30.5
KS,Finney County,38.049855,-100.739929,28.2,56206,21.7
KS,Gray County,37.744513,-100.451716,6.9,65771,22.3
KS,Harvey County,38.050144,-97.436707,64.3,57934,26.3
KS,Jefferson County,39.239644,-95.375314,35.9,69246,40.4
KS,Leavenworth County,39.189511,-95.038977,164.7,70807,28.7
KS,McPherson County,38.395812,-97.647489,32.5,58017,27.3
KS,Reno County,37.948185,-98.078346,51.4,49341,27.9
KS,Sedgwick County,37.683807,-97.459451,499.6,56381,26.2
KY,Barren County,36.963614,-85.92499,86.5,42439,41.6
KY,Christian County,36.893388,-87.493554,103.1,40299,32.1
KY,Daviess County,37.731671,-87.087139,210.9,51441,34.7
KY,Greenup County,38.563596,-82.933833,107.2,49457,36.8
KY,Knox County,36.887476,-83.85563,82.5,30742,37.9
KY,Logan County,36.859829,-86.881436,48.6,46742,43.7
KY,McCracken County,37.053688,-88.712378,263.6,48950,30.1
KY,Marshall County,36.882017,-88.332752,104.4,52388,37.7
KY,Martin County,37.796774,-82.506623,56.3,28925,39.3
KY,Mercer County,37.812085,-84.879695,85.7,53921,38.4
KY,Pike County,37.482067,-82.402869,82.6,37124,38.5
KY,Pulaski County,37.108312,-84.579986,95.8,41541,37.6
KY,Simpson County,36.740863,-86.581464,74,51769,44.7
KY,Warren County,36.995634,-86.423579,210.1,53478,28.1
KY,Wayne County,36.802011,-84.83044,45.4,33701,37.4
LA,Avoyelles Parish,31.085094,-91.993798,50.5,37731,38.9
LA,Bienville Parish,32.344268,-93.061513,17.7,34047,41.7
LA,Caldwell Parish,32.101244,-92.11418,19.1,40842,43.2
LA,Catahoula Parish,31.666517,-91.846703,14.7,35812,42.5
LA,Concordia Parish,31.469806,-91.626314,29.9,35840,41.4
LA,De Soto Parish,32.059248,-93.740797,30.4,44457,42.8
LA,East Carroll Parish,32.73017,-91.234141,18.4,27714,38.8
LA,Franklin Parish,32.138279,-91.672101,33.2,34446,42.9
LA,Iberville Parish,30.288394,-91.36315,54,47917,40.4
LA,Jackson Parish,32.30448,-92.556672,28.6,40828,43.3
LA,Madison Parish,32.365824,-91.240729,19.4,28452,39
LA,St. Charles Parish,29.913833,-90.359314,189.1,67585,34.8
LA,St. James Parish,30.02482,-90.793956,91.5,53903,42.9
MD,Caroline County,38.871531,-75.831631,103.5,56627,40.7
MD,Carroll County,39.563189,-77.015512,373.4,95956,29.9
MD,Cecil County,39.562352,-75.941584,292,72739,37.7
MD,Howard County,39.252264,-76.924406,1144.9,116719,14
MD,Montgomery County,39.137382,-77.203063,1978.2,107758,13.3
MD,Prince George's County,38.82588,-76.847272,1788.8,82445,25.7
MD,Somerset County,38.07445,-75.853323,82.8,42098,40.3
MD,Wicomico County,38.367389,-75.632206,263.7,54313,32.5
MA,Bristol County,41.748576,-71.087062,991.3,66005,29.9
MA,Hampden County,42.136198,-72.635648,751,52682,29.5
MA,Norfolk County,42.169703,-71.179875,1693.6,100184,19.5
MA,Worcester County,42.311693,-71.940282,528.6,71767,28.1
MI,Barry County,42.582811,-85.31455,107,64121,37.8
MI,Charlevoix County,45.513164,-85.450392,62.3,54491,29.5
MI,Chippewa County,46.321819,-84.52063,24.7,47380,35
MI,Genesee County,43.021077,-83.706372,668.5,48370,31.9
MI,Van Buren County,42.283986,-86.305697,125.5,57363,31.9
MI,Wayne County,42.284664,-83.261953,2974.4,46440,30
MN,Clay County,46.898377,-96.494901,56.4,65914,25.4
MN,Dakota County,44.670893,-93.062481,709,86403,20.6
MN,Hennepin County,45.006064,-93.475185,2081.7,76067,16.7
MN,Kandiyohi County,45.152714,-95.004981,53,60579,25.8
MN,Otter Tail County,46.405725,-95.714578,29.1,53778,29.3
MN,Renville County,44.723697,-94.955617,16,59787,36.3
MN,Scott County,44.651932,-93.534553,364.5,101427,22.6
MN,Sherburne County,45.443171,-93.775092,204.4,81850,27.8
MN,Steele County,44.015261,-93.220453,85.1,65323,34.3
MN,Waseca County,44.01846,-93.589844,45.2,58335,35.8
MN,Washington County,45.037929,-92.890117,619.7,95840,21.1
MN,Wright County,45.175091,-93.966397,188.5,87377,29.1
MS,Adams County,31.486218,-91.351781,69.8,33392,34.6
MS,Amite County,31.203933,-90.795542,18,38092,40.7
MS,Benton County,34.810773,-89.200029,21.5,35184,33.9
MS,Calhoun County,33.936634,-89.337114,25.5,39176,37.1
MS,Forrest County,31.18858,-89.259447,160.7,39061,26.6
MS,Harrison County,30.416536,-89.083376,326,45355,29.4
MS,Humphreys County,33.132978,-90.523911,22.4,28542,32.8
MS,Lamar County,31.197135,-89.514952,112,58377,23.5
MS,Lauderdale County,32.403998,-88.660449,114.1,40077,28.8
MS,Lincoln County,31.535216,-90.453566,59.5,43478,37.4
MS,Lowndes County,33.471424,-88.439723,118.3,44348,31.5
MS,Marion County,31.230126,-89.821736,49.9,36408,39.7
MS,Oktibbeha County,33.422313,-88.876151,104,39130,20.4
MS,Panola County,34.365205,-89.963065,50.7,39198,37.8
MS,Pike County,31.177517,-90.397725,98.8,33983,35.6
MS,Pontotoc County,34.227081,-89.037239,60.2,44297,30.3
MS,Sunflower County,33.605529,-90.59509,42.2,31329,29.5
MS,Tate County,34.649553,-89.943105,71.4,48082,32.6
MS,Washington County,33.273131,-90.94443,70.6,33991,30.5
MS,Winston County,33.078724,-89.037391,31.6,39498,32.5
MO,Barry County,36.699378,-93.834326,45.7,42457,40.9
MO,Livingston County,39.778587,-93.548201,28.5,48749,38.7
MO,Mississippi County,36.826264,-89.295929,34.9,34735,39.6
MO,Perry County,37.71113,-89.802125,40,53871,44.7
MO,Vernon County,37.850196,-94.341597,25.6,42552,41.9
MO,Warren County,38.761902,-91.159307,75.9,62056,38.4
MO,Webster County,37.280804,-92.87608,61.1,51141,38.4
MT,Cascade County,47.316443,-111.350571,30.1,50054,31.6
MT,Lewis and Clark County,47.122133,-112.382954,18.3,63860,24.5
MT,Yellowstone County,45.936987,-108.276656,56.2,59975,30.3
NE,Adams County,40.520632,-98.500044,55.7,55167,28
NE,Dakota County,42.390456,-96.562549,79.5,55522,36.4
NE,Douglas County,41.297091,-96.154066,1574.4,64580,21.3
NE,Gage County,40.255234,-96.683453,26.2,49931,35.2
NE,Hall County,40.866023,-98.498004,107.3,53792,31
NE,Knox County,42.634405,-97.891349,7.9,47906,33.3
NE,Richardson County,40.123743,-95.718603,15.2,47573,35.7
NV,Clark County,36.214236,-115.013819,247.3,57155,28.6
NV,Humboldt County,41.407914,-118.127592,1.7,72873,34.3
NV,Washoe County,40.703311,-119.710315,66.9,63636,23.9
NH,Merrimack County,43.299485,-71.68013,156.8,74351,27.8
NJ,Atlantic County,39.469354,-74.633758,494.1,60826,32.1
NJ,Burlington County,39.875786,-74.663006,561.9,84470,28.3
NJ,Cape May County,39.086143,-74.847716,386.9,62175,32.6
NJ,Essex County,40.787217,-74.246136,6211.5,62875,28.1
NJ,Gloucester County,39.721019,-75.143708,895.3,81315,33
NJ,Hudson County,40.731384,-74.078627,13731.4,73337,25.7
NJ,Hunterdon County,40.565283,-74.91197,300,112335,21.2
NJ,Mercer County,40.282503,-74.703724,1632.2,79979,24.5
NJ,Middlesex County,40.439593,-74.407585,2621.6,87666,25.7
NJ,Monmouth County,40.287056,-74.152446,1344.7,99223,24
NJ,Ocean County,39.86585,-74.263027,917,68483,33.9
NJ,Passaic County,41.033763,-74.300308,2715.3,71959,34.1
NJ,Sussex County,41.137424,-74.691855,287.6,92284,31.4
NM,Curry County,34.572984,-103.346055,34.4,47202,27.5
NM,Eddy County,32.457858,-104.306471,12.9,58320,36.9
NM,Valencia County,34.71684,-106.806582,71.8,46365,32.8
NY,Albany County,42.588271,-73.974014,581.9,64536,24.1
NY,Broome County,42.161977,-75.830291,284.2,50928,31.1
NY,Cayuga County,43.008546,-76.574587,115.7,52945,33
NY,Erie County,42.752759,-78.778192,881.4,56375,27.7
NY,Nassau County,40.729687,-73.589384,4704.8,115301,23
NY,Orange County,41.40241,-74.306252,459.3,75048,29.7
NY,Schenectady County,42.817542,-74.043583,756.6,63297,29.3
NY,Seneca County,42.782294,-76.827088,108.9,54184,34.9
NY,Steuben County,42.266725,-77.385525,71.2,54862,37.4
NY,Suffolk County,40.943554,-72.692218,1637.4,100075,27.9
NY,Ulster County,41.947232,-74.265447,162.3,63073,29.8
NC,Alamance County,36.041974,-79.399935,356.5,50480,27.6
NC,Bladen County,34.591949,-78.539513,40.2,36976,33.4
NC,Caswell County,36.393097,-79.332546,55.8,45517,33.3
NC,Craven County,35.118179,-77.082541,146,50748,25.9
NC,Lee County,35.476075,-79.17222,227,48984,27.2
NC,Lenoir County,35.238062,-77.639023,148.5,40433,32.1
NC,McDowell County,35.682232,-82.048029,102.1,43972,33.5
NC,Madison County,35.86408,-82.712731,46.2,44693,30.7
NC,Rutherford County,35.402747,-81.919583,120.2,42831,31.9
NC,Surry County,36.415416,-80.686463,138.4,46342,29.3
NC,Wayne County,35.362741,-78.004826,221.7,41572,30.5
NC,Yadkin County,36.158765,-80.665164,114.7,49070,34.7
ND,Cass County,46.927003,-97.252375,84.9,63885,19.7
ND,McKenzie County,47.742475,-103.403215,2.3,76224,28.8
ND,Williams County,48.345867,-103.4874,10.8,79354,26.4
OH,Belmont County,40.017682,-80.967727,132.3,48989,42.7
OH,Clermont County,39.052084,-84.149614,436.5,65280,33
OH,Clinton County,39.414041,-83.814542,102.9,53947,39.7
OH,Columbiana County,40.768462,-80.777231,202.7,44938,45.1
OH,Fairfield County,39.752935,-82.628276,289.8,67654,33.6
OH,Jackson County,39.013477,-82.614142,79,44726,41.8
OH,Jefferson County,40.399188,-80.76141,170.7,42821,43.4
OH,Lorain County,41.438805,-82.179722,613.6,59265,31.5
OH,Mahoning County,41.01088,-80.770396,580.2,48010,38
OH,Medina County,41.116051,-81.899566,409,76475,31.6
OH,Ottawa County,41.544467,-83.009253,162.5,58345,35.5
OH,Paulding County,41.119141,-84.576967,47.1,53876,48.8
OH,Putnam County,41.024533,-84.129879,71.5,64304,42.4
OH,Sandusky County,41.355291,-83.142735,149.2,53978,42.3
OH,Scioto County,38.815019,-82.999028,130.3,41267,42
OH,Stark County,40.814131,-81.365667,652.9,52310,37.8
OH,Summit County,41.121851,-81.534936,1312.6,58890,30.6
OK,Atoka County,34.374813,-96.034705,14.5,39702,40.6
OK,Bryan County,33.964004,-96.264137,46.9,43445,32
OK,Cleveland County,35.203117,-97.328332,474.7,62343,25.6
OK,Comanche County,34.662628,-98.476597,116.1,51382,32.1
OK,Custer County,35.645601,-98.997386,27.8,49577,30.6
OK,Logan County,35.914151,-97.450764,56.3,69114,32.1
OK,McClain County,35.016414,-97.449811,60.5,65831,33.3
OK,Marshall County,34.027007,-96.770533,42.7,42258,35.4
OK,Muskogee County,35.617551,-95.383911,87.6,43911,36.2
OK,Payne County,36.079225,-96.975255,113,47748,26.9
OK,Pottawatomie County,35.211393,-96.957007,88.2,48499,35.9
OK,Stephens County,34.481361,-97.855607,51.8,46512,41.1
OK,Tulsa County,36.120121,-95.941731,1058.1,55796,25.5
OK,Washington County,36.70438,-95.906155,122.7,53992,33.9
OR,Columbia County,45.941932,-123.081079,75.1,63338,34.3
OR,Crook County,44.163054,-120.371585,7,51348,33
OR,Douglas County,43.285904,-123.15438,21.4,47020,32.4
OR,Klamath County,42.683761,-121.646168,11.2,45374,30.1
OR,Malheur County,43.1877,-117.603976,3.2,42624,30.3
OR,Marion County,44.900898,-122.57626,266.7,56408,27.7
OR,Morrow County,45.425496,-119.602311,5.5,55343,32.5
OR,Multnomah County,45.547693,-122.417173,1704.9,70756,17.3
OR,Washington County,45.553542,-123.097615,731.4,82819,17.5
OR,Yamhill County,45.248138,-123.316117,138.6,61776,25.6
PA,Adams County,39.869471,-77.21773,195.5,62877,40.5
PA,Columbia County,41.045517,-76.40426,139.3,50774,43.4
PA,Cumberland County,40.164782,-77.26344,431.6,71695,32.9
PA,Dauphin County,40.412565,-76.792634,510.6,57979,33.6
PA,Jefferson County,41.130287,-78.999044,69.3,46751,50.1
PA,Lackawanna County,41.44025,-75.609587,467.1,52872,36.8
PA,Lancaster County,40.041992,-76.250198,550.4,66270,35.8
PA,Mifflin County,40.61189,-77.620661,113.6,47648,51.8
PA,Montgomery County,40.209999,-75.370201,1655.9,90155,23.8
PA,Philadelphia County,40.009376,-75.133346,11379.5,46149,33
PA,Schuylkill County,40.70369,-76.2178,190.4,48809,46.6
PA,York County,39.921839,-76.728446,481.1,65238,40.2
SC,Abbeville County,34.213809,-82.46046,51.8,42412,34.6
SC,Allendale County,32.979784,-81.363421,25.5,29124,44
SC,Anderson County,34.519549,-82.638086,261.6,51740,31.3
SC,Bamberg County,33.203021,-81.053161,40.6,36230,33.2
SC,Chesterfield County,34.637018,-80.159227,58.5,39046,40.4
SC,Georgetown County,33.41753,-79.300812,73.9,46058,29
SC,Richland County,34.029783,-80.896566,507.9,52611,22.4
SC,Sumter County,33.916046,-80.382472,161.6,45181,31
SD,Grant County,45.172637,-96.772261,10.8,59813,43.6
SD,Lake County,44.02845,-97.123223,19.9,60733,34.7
SD,Roberts County,45.623397,-96.947551,9.2,44709,35.6
TN,Anderson County,36.116731,-84.195418,222.8,50672,33.1
TN,Blount County,35.688185,-83.922973,220.2,57939,34.8
TN,Cheatham County,36.25518,-87.100816,129.3,63241,36.4
TN,Fayette County,35.196993,-89.413803,54.5,59529,33.1
TN,Hamilton County,35.159186,-85.202296,620.3,57196,27.5
TN,Hardeman County,35.218131,-88.989037,40.8,37834,47.6
TN,Houston County,36.285777,-87.705605,42.1,44688,46.1
TN,Jackson County,36.354242,-85.674182,37.7,37563,46.8
TN,Jefferson County,36.048479,-83.440966,187.6,49611,38.9
TN,Lawrence County,35.220476,-87.396546,67.8,43651,44.8
TN,Loudon County,35.73745,-84.316204,211.8,58186,33.8
TN,Montgomery County,36.500354,-87.380887,319.6,56102,29.1
TN,Robertson County,36.52753,-86.869377,139.2,66006,38.9
TN,Sevier County,35.791284,-83.521955,151.7,47202,36.4
TN,Shelby County,35.183794,-89.895397,1215.5,47924,27.5
TX,Austin County,29.891901,-96.27017,44,59942,29.3
TX,Bosque County,31.900764,-97.637632,18.5,48460,35.7
TX,Bowie County,33.446051,-94.422375,104.6,47339,34.8
TX,Brazoria County,29.167818,-95.434647,230.7,74225,25.3
TX,Brown County,31.764103,-98.99847,40.3,47097,35.7
TX,Castro County,34.533621,-102.258786,9,45689,32.2
TX,Clay County,33.785904,-98.212918,9.9,58356,39.5
TX,Collin County,33.193885,-96.578153,930,96936,14.8
TX,Coryell County,31.391177,-97.798022,71.7,48099,28
TX,Deaf Smith County,34.940766,-102.607564,12.9,44230,34.2
TX,Denton County,33.205005,-97.119046,754.3,88384,18.1
TX,DeWitt County,29.082342,-97.361656,22.1,49208,39.2
TX,Dimmit County,28.423587,-99.765871,7.5,37177,33.2
TX,Ellis County,32.347279,-96.798336,159.9,76792,28.3
TX,Erath County,32.238136,-98.222377,35,47087,23.4
TX,Falls County,31.25193,-96.934128,23.3,37428,37.9
TX,Goliad County,28.6607,-97.430415,8.5,55008,30.7
TX,Grayson County,33.624508,-96.675699,129.6,51403,30.9
TX,Harrison County,32.547993,-94.374425,72.9,50131,34.3
TX,Hood County,32.430149,-97.831677,121.7,60917,30
TX,Kendall County,29.944524,-98.711094,50.4,90937,21.2
TX,Kleberg County,27.438735,-97.66062,36.4,42605,25.2
TX,Lamb County,34.068862,-102.348018,13.8,42700,32.6
TX,Lampasas County,31.196731,-98.240889,27.6,55151,28.1
TX,Lee County,30.321105,-96.976365,26.4,55834,36.8
TX,Liberty County,30.162189,-94.822682,65.3,52577,39.3
TX,Limestone County,31.547543,-96.593623,25.8,43226,34.9
TX,Nueces County,27.739406,-97.521643,405.8,53034,28.9
TX,Orange County,30.120918,-93.893358,245.3,56556,38.8
TX,Parmer County,34.532163,-102.784853,11.7,50539,31.3
TX,Potter County,35.398675,-101.893804,133.3,41912,31.6
TX,Refugio County,28.312496,-97.160479,9.6,44821,36.7
TX,San Patricio County,28.011782,-97.517165,93.5,53559,32.7
TX,Somervell County,32.217942,-97.769211,45.5,63929,34.5
TX,Tom Green County,31.401583,-100.461355,72.4,51393,30.5
TX,Tyler County,30.769579,-94.379449,23.5,44041,44.2
TX,Winkler County,31.831416,-103.055986,8.5,56781,27.9
UT,Grand County,38.974326,-109.57345,2.5,50750,28.4
UT,Wasatch County,40.334884,-111.161568,20,85380,20.4
VA,Alleghany County,37.787905,-80.008669,36.5,46538,40
VA,Botetourt County,37.553193,-79.805318,61.2,71874,32.3
VA,Brunswick County,36.764531,-77.860916,30.8,41803,37.5
VA,Buckingham County,37.573928,-78.529169,29.6,45889,43.8
VA,Culpeper County,38.48593,-77.956476,123.1,72111,30.2
VA,Henry County,36.620593,-79.980584,141.6,36471,34.3
VA,King William County,37.70826,-77.091054,58.2,68724,36.1
VA,Loudoun County,39.08113,-77.638857,605.8,140382,12.4
VA,Roanoke County,37.331077,-80.19011,368.7,68734,25.5
VA,Alexandria city,38.818343,-77.082026,9314.3,99425,12
VA,Charlottesville city,38.037658,-78.485381,4246.3,56997,18.7
VA,Chesapeake city,36.679376,-76.301788,652,78846,25
VA,Colonial Heights city,37.261685,-77.396804,2315.3,56800,32.2
VA,Emporia city,36.696182,-77.535975,859.8,36908,35.9
VA,Hampton city,37.04803,-76.297149,2673.2,54763,28.2
VA,Harrisonburg city,38.436013,-78.874197,2808.2,42640,26.4
VA,Hopewell city,37.29101,-77.298944,2197.9,42568,36.4
VA,Manassas city,38.747561,-77.484727,3827.8,79141,26.5
VA,Martinsville city,36.683527,-79.863648,1261.5,33892,31.2
VA,Newport News city,37.075978,-76.521719,2630,50283,28.6
VA,Roanoke city,37.27783,-79.958472,2279.8,42715,32.7
VA,Virginia Beach city,36.779322,-76.02402,1758.9,76520,21.4
VA,Winchester city,39.173869,-78.176356,2838.1,51456,25
WA,Chelan County,47.859892,-120.618543,24.8,57243,27.2
WA,Island County,48.158436,-122.670503,376.6,65987,22.4
WA,King County,47.493554,-121.832375,912.9,94822,15.2
WA,Okanogan County,48.550971,-119.691035,7.8,48345,30.1
