State,Area_Name,Latitude,Longitude,DensityPerSquaremileOfLandarea-Population,Median_Household_Income_2018,Percent_of_adults_with_a_high_school_diploma_only_2014-18
AL,Baldwin County,30.659218,-87.746067,114.6,57588,27.6
AL,Chilton County,32.85406,-86.726628,63,47547,44.1
AL,Coffee County,31.402183,-85.989201,73.6,55122,27.9
AL,Colbert County,34.703112,-87.801457,91.8,49055,36
AL,Conecuh County,31.428293,-86.992029,15.6,32613,48.8
AL,Elmore County,32.597229,-86.142739,128.2,60367,32.8
AL,Escambia County,31.121748,-87.168429,40.5,38418,44.5
AL,Etowah County,34.047638,-86.03442,195.2,44903,32.9
AL,Henry County,31.516978,-85.239971,30.8,46027,33.5
AL,Houston County,31.158193,-85.296398,175.1,47993,31.6
AL,Jackson County,34.763522,-85.9774,49.4,41929,40.8
AL,Lauderdale County,34.904122,-87.650997,138.8,48707,36
AL,Lee County,32.604064,-85.353048,230.8,48937,24.1
AL,Limestone County,34.810239,-86.9814,147.8,64863,30.3
AL,Marshall County,34.309564,-86.321668,164.4,46233,31.1
AL,Montgomery County,32.203651,-86.203831,292.5,49640,25.5
AL,Russell County,32.289811,-85.18698,82.6,39104,32.3
AL,Sumter County,32.597481,-88.200057,15.2,27859,37.8
AK,Kenai Peninsula Borough,60.366373,-152.321973,3.4,65439,32.2
AR,Arkansas County,34.289574,-91.376547,19.2,43887,38.3
AR,Crawford County,35.583041,-94.236224,104.4,47363,37.4
AR,Grant County,34.288063,-92.423984,28.3,52050,44.2
AR,Howard County,34.083179,-93.990988,23.4,40199,37.3
AR,Pulaski County,34.773988,-92.316515,503.8,49957,26.2
AR,Sebastian County,35.196981,-94.274989,236.4,46843,32
AR,Sharp County,36.173399,-91.471069,28.6,36032,42
CA,El Dorado County,38.785532,-120.534398,106,81869,21.2
CA,Mariposa County,37.570034,-119.91286,12.6,51402,26.5
CA,Napa County,38.507351,-122.325995,182.4,85624,18
CA,Nevada County,39.295191,-120.773446,103.1,66681,18.4
CA,Riverside County,33.729828,-116.002239,303.8,66793,26.9
CA,San Joaquin County,37.935034,-121.272237,492.6,63567,28.2
CA,Sutter County,39.035257,-121.702758,157.3,57879,23.9
CA,Yolo County,38.679268,-121.903178,197.9,67804,18.5
CO,Adams County,39.874325,-104.331872,378.2,70199,28.4
CO,El Paso County,38.827383,-104.527472,292.6,67923,20.2
CO,Grand County,40.123289,-106.095876,8,69214,26.5
CO,Jefferson County,39.58646,-105.245601,699.5,85550,20.6
CO,San Miguel County,38.009374,-108.427326,5.7,69458,15.2
CO,Teller County,38.871994,-105.182552,41.9,64850,25.5
CO,Weld County,40.555794,-104.383649,63.4,75629,27.5
CT,Fairfield County,41.228103,-73.366757,1467.2,91183,21.7
CT,Litchfield County,41.791897,-73.235428,206.3,76304,29.7
CT,New Haven County,41.349717,-72.900204,1426.7,67720,30.9
CT,New London County,41.47863,-72.103452,412.2,67790,29.8
DC,District of Columbia,38.904149,-77.017094,9856.5,82533,17.2
FL,Bay County,30.237563,-85.631348,222.6,51777,31.4
FL,Charlotte County,26.868826,-81.940858,235.2,52724,33.8
FL,Escambia County,30.611664,-87.33904,453.4,50644,27.3
FL,Flagler County,29.474894,-81.286362,197.1,58975,33.9
FL,Hardee County,27.492846,-81.82158,43.5,39169,47.9
FL,Hendry County,26.53934,-81.151584,34,44391,34.8
FL,Highlands County,27.342627,-81.340921,97.2,39994,38
FL,Leon County,30.45931,-84.2778,413.1,51046,19.1
FL,Levy County,29.284409,-82.783483,36.5,39037,41.1
FL,Okeechobee County,27.385592,-80.887388,52,42258,38.4
FL,Santa Rosa County,30.703633,-87.014255,149.6,69541,27.2
GA,Baldwin County,33.059532,-83.255362,177.3,42727,36.4
GA,Bartow County,34.240918,-84.838188,217.9,57409,33
GA,Bryan County,32.017969,-81.438543,69.3,79658,25.6
GA,Bulloch County,32.393408,-81.74381,104.4,43766,27.3
GA,Camden County,30.916358,-81.636516,82.4,56555,31.5
GA,Candler County,32.403986,-82.071446,45.3,35841,36.1
GA,Charlton County,30.779904,-82.139644,15.7,40499,39.1
GA,Chatham County,31.974756,-81.091768,621.7,54165,24.3
GA,Clarke County,33.952234,-83.36713,979.1,42112,21.1
GA,Clay County,31.619831,-84.992583,16.3,30239,42.3
GA,Clayton County,33.552242,-84.412977,1832.5,46059,32.9
