KY,Casey County,37.321962,-84.92822,35.9,34358,38.4
KY,Clark County,37.970133,-84.144974,141.1,50162,34.8
KY,Fleming County,38.368431,-83.706152,41.2,42571,38.3
KY,Hancock County,37.843389,-86.792773,45.6,56769,42.8
KY,Hopkins County,37.31107,-87.542196,86.6,45512,41.5
KY,Livingston County,37.209517,-88.363426,30.4,48182,44.5
KY,Mason County,38.594068,-83.828052,72.8,41807,37.7
KY,Muhlenberg County,37.213816,-87.134092,67.4,43722,43.2
KY,Ohio County,37.477859,-86.844871,40.6,44751,42.8
KY,Trigg County,36.807681,-87.858652,32.5,49767,31.3
LA,Acadia Parish,30.291497,-92.411037,94.3,40484,41.2
LA,Beauregard Parish,30.645018,-93.340253,30.8,57005,38.1
LA,Calcasieu Parish,30.229559,-93.358015,181.2,50531,33.8
LA,Cameron Parish,29.871989,-93.165437,5.3,57299,38.8
LA,Iberia Parish,29.606013,-91.842706,127.6,42909,42.8
LA,Jefferson Davis Parish,30.269529,-92.816221,48.5,44492,41.7
LA,Lafayette Parish,30.206507,-92.06417,824.6,57821,30.2
LA,Terrebonne Parish,29.333266,-90.844191,90.8,51665,38.6
LA,Vernon Parish,31.110563,-93.18152,39.4,47664,37.4
ME,Cumberland County,43.808348,-70.330375,337.2,71586,22.3
ME,Lincoln County,43.994265,-69.514029,75.6,56211,33.2
ME,Oxford County,44.494585,-70.734688,27.8,44243,43.3
ME,Penobscot County,45.390602,-68.657487,45.3,47840,33.6
ME,Piscataquis County,45.917678,-69.104548,4.4,40066,40.4
ME,Washington County,44.967009,-67.609354,12.8,39522,39
MA,Franklin County,42.583791,-72.591655,102.1,58992,28
MI,Alcona County,44.682535,-82.83408,16.2,39862,39.2
MI,Benzie County,44.648621,-86.494317,54.8,51905,31.8
MI,Clinton County,42.950455,-84.591695,133.1,70967,27
MI,Crawford County,44.680208,-84.611132,25.3,46930,33.8
MI,Grand Traverse County,44.718688,-85.553848,187.3,64591,24.4
MI,Houghton County,46.998305,-88.652066,36.3,42282,33.7
MI,Isabella County,43.645233,-84.839425,122.8,47056,31.5
MI,Mason County,43.996636,-86.750814,58,51083,33.5
MI,Missaukee County,44.325424,-85.085471,26.3,48413,42
MI,Montmorency County,45.024134,-84.130107,17.9,40650,43.1
MI,Newaygo County,43.562709,-85.791423,59.6,48860,40.3
MI,Oceana County,43.647255,-86.807575,51.9,50374,35.4
MI,Ogemaw County,44.33328,-84.128073,38.5,41201,39
MI,Osceola County,43.997552,-85.322283,41.5,45607,44.3
MI,Schoolcraft County,46.020758,-86.199352,7.2,44887,44.3
MI,Wexford County,44.331375,-85.570046,57.9,46396,36.8
MN,Benton County,45.701227,-94.00144,94.2,61341,31.1
MN,Brown County,44.246542,-94.733647,42.4,60626,37.6
MN,Dodge County,44.020706,-92.869353,45.7,75955,34.7
MN,Freeborn County,43.674202,-93.350289,44.2,52010,37.3
MN,Grant County,45.930743,-96.010699,11,54917,33.7
MN,Houston County,43.66699,-91.501556,34.5,59613,33.6
MN,Lyon County,44.409195,-95.847268,36.2,57690,33.1
MN,Martin County,43.677118,-94.537198,29.3,50821,38.1
MN,Murray County,44.015594,-95.761581,12.4,59938,37.5
MN,Pine County,46.10094,-92.763094,21.1,50387,39.8
MN,Pipestone County,44.015361,-96.257015,20.6,55378,34.6
MN,Roseau County,48.761066,-95.82153,9.3,60239,34.9
MN,Stearns County,45.555235,-94.610482,112.2,60843,27.9
MN,Stevens County,45.593461,-95.992315,17.3,61929,29.2
MN,Swift County,45.27545,-95.690398,13.2,51552,33.5
MN,Watonwan County,43.978366,-94.614128,25.8,51962,41.2
